threshold;versione;time_slot;book_name;tipo;stato;actual_ci;forecast_time;forecast_ci;tempo_sec;co2_emessa_g
150;plain;12:00;L'alchimista;precedente;eseguito;250.0;12:30;260.0;9.99999429041054e-07;3.4722202397258823e-09
150;plain;12:30;Il richiamo della foresta;corrente;eseguito;310.0;13:00;246.0;8.344995000000381;0.035929839583334976
150;plain;12:30;Ventimila leghe sotto i mari;corrente;eseguito;310.0;13:00;246.0;8.420720500000243;0.03625587993055661
150;plain;12:30;Memorie di una geisha;corrente;eseguito;310.0;13:00;246.0;8.338996299999963;0.03590401184722206
150;plain;12:30;Il fu Mattia Pascal;corrente;eseguito;310.0;13:00;246.0;8.385564199999862;0.03610451252777719
150;plain;12:30;Odissea;corrente;eseguito;310.0;13:00;246.0;8.289782200000445;0.03569211780555748
150;plain;12:30;La fattoria degli animali;precedente;eseguito;310.0;13:00;246.0;1.5999994502635673e-06;6.888886521968137e-09
150;plain;12:30;Il maestro e Margherita;precedente;eseguito;310.0;13:00;246.0;4.000003173132427e-07;1.7222235884320173e-09
150;plain;12:30;Siddharta;precedente;eseguito;310.0;13:00;246.0;2.999995558639057e-07;1.2916647544140385e-09
150;plain;12:30;La coscienza di Zeno;precedente;eseguito;310.0;13:00;246.0;2.0000061340397224e-07;8.611137521559916e-10
150;plain;12:30;I dolori del giovane Werther;precedente;eseguito;310.0;13:00;246.0;2.999995558639057e-07;1.2916647544140385e-09
150;pattern;08:00;Il Signore degli Anelli;corrente;eseguito;230.0;08:30;195.0;8.396248899999591;0.026821350652776473
150;pattern;08:00;1984;corrente;eseguito;230.0;08:30;195.0;8.320414400000118;0.026579101555555935
150;pattern;08:00;Il nome della rosa;corrente;eseguito;230.0;08:30;195.0;8.402255699999841;0.02684053904166616
150;pattern;08:00;Cent'anni di solitudine;corrente;eseguito;230.0;08:30;195.0;8.42668219999996;0.02691856813888876
150;pattern;08:00;Orgoglio e pregiudizio;corrente;eseguito;230.0;08:30;195.0;8.37711660000059;0.02676023358333522
150;pattern;08:30;Delitto e castigo;corrente;eseguito;210.0;09:00;240.0;8.550796800000171;0.0249398240000005
150;pattern;08:30;Il cacciatore di aquiloni;corrente;eseguito;210.0;09:00;240.0;8.446860500000184;0.02463667645833387
150;pattern;08:30;Se questo è un uomo;corrente;eseguito;210.0;09:00;240.0;8.319546699999592;0.024265344541665478
150;pattern;08:30;La metamorfosi;corrente;eseguito;210.0;09:00;240.0;8.323947300000327;0.024278179625000954
150;pattern;08:30;Il ritratto di Dorian Gray;corrente;eseguito;210.0;09:00;240.0;8.402734499999497;0.024507975624998533
150;pattern;08:30;Il Signore degli Anelli;precedente;eseguito;210.0;09:00;240.0;6.300000677583739e-06;1.8375001976285908e-08
150;pattern;08:30;1984;precedente;eseguito;210.0;09:00;240.0;3.099999958067201e-06;9.04166654436267e-09
150;pattern;08:30;Il nome della rosa;precedente;eseguito;210.0;09:00;240.0;1.6999993022182025e-06;4.958331298136424e-09
150;pattern;08:30;Cent'anni di solitudine;precedente;eseguito;210.0;09:00;240.0;1.5999994502635673e-06;4.6666650632687385e-09
